UNITID,EFYTOTLT2011,EFYTOTLT2010
121044,35756,5622
121071,1164,5622
121071,1096,40897
121071,68,40897
121150,8201,374
121150,3617,374
121150,4584,489
121257,1110,489
121257,1110,37652
121275,380,37652
121275,380,1429
121309,4330,1350
121309,2510,79
121309,1820,8476
121345,1579,3639
121345,1579,4837
121363,6017,1069
121363,6017,1069
121381,1194,323
121381,1194,323
121433,250,4230
121433,250,2490
121619,48363,1740
121619,48363,1570
121628,122,1570
121628,122,6553
121637,100,6553
121637,100,1349
121691,5964,1349
121691,3704,231
121691,2260,231
121707,9467,48552
121707,9467,48552
121859,258,115
121859,258,115
121868,151,79
121868,151,79
121877,351,5301
121877,351,2992
121886,30143,2309
121886,30143,11177
121901,30470,11177
121901,30470,252
121983,1255,252
121983,218,125
121983,1037,125
121992,295,204
121992,295,204
122117,360,36272
122117,101,36272
122117,259,54751
122180,37957,54751
122180,37957,1224
122205,37586,175
122205,37586,1049
122296,1845,277
122296,933,277
122296,912,233
122339,29873,233
122339,29873,40786
122366,541,40786
122366,541,36180
122375,40844,36180
122375,40844,1784
122384,23179,898
122384,23179,886
122409,34999,30010
122409,29115,30010
122409,5884,508
122436,9106,508
122436,5740,38806
122436,3366,38806
122454,735,21822
122454,469,21822
122454,266,34997
122506,407,28366
122506,195,6631
122506,212,8819
122597,32633,5397
122597,27564,3422
122597,5069,678
122603,385,419
122603,385,259
122612,11313,428
122612,6707,211
122612,4606,217
122649,213,32912
122649,213,27422
122658,25367,5490
122658,25367,441
122685,2538,441
122685,2538,10689
122694,1692,6339
122694,1692,4350
122728,964,212
122728,900,212
122728,64,27366
122746,16994,27366
122746,16994,2374
122755,31575,2374
122755,25151,1668
122755,6424,1668
122791,16105,720
122791,16105,695
122834,1561,25
122834,1561,18855
122843,8525,18855
122843,8264,33109
122843,261,25516
122852,536,7593
122852,536,18615
122889,27236,18615
122889,27236,1520
122931,10184,1520
122931,5566,12863
122931,4618,12543
122977,46490,320
122977,46490,520
123013,36845,520
123013,36845,28763
123095,776,28763
123095,776,9883
123165,1052,5473
123165,1028,4410
123165,24,49586
123208,3115,49586
123208,3115,37533
123217,18665,37533
123217,18665,754
123280,77,754
123280,55,998
123280,22,974
123299,13656,24
123299,13656,3296
123341,26986,3296
123341,26986,19360
123350,216,19360
123350,216,75
123396,214,56
123396,214,19
123448,223,14740
123448,223,14740
123457,1495,28583
123457,1096,28583
123457,399,216
123484,4467,216
123484,4467,246
123493,1638,246
123493,1638,190
123509,16298,190
123509,16298,1380
123527,19105,1073
123527,19105,307
123554,4357,5571
123554,2965,5571
123554,1392,2042
123563,17920,2042
123563,17920,17419
123572,9013,17419
123572,7817,22980
123572,1196,22980
123581,261,4263
123581,261,2660
123633,971,1603
123633,464,18688
123633,507,18688
123642,602,8972
123642,602,7657
123651,2970,1315
123651,2671,187
123651,299,187
123679,855,870
123679,855,423
123800,25907,447
123800,25907,570
123855,95,570
123855,95,2699
123916,78,2372
123916,78,327
123943,586,861
123943,586,861
123952,506,28784
123952,268,28784
123952,238,95
123961,40515,95
123961,18876,81
123961,21639,81
123970,1476,497
123970,1476,497
124113,16256,493
124113,16256,255
124283,436,238
124283,436,38860
124292,361,18316
124292,361,20544
124344,338,1155
124344,338,1155
124487,397,14587
124487,397,14587
124681,22275,466
124681,22275,466
124706,918,348
124706,918,348
124779,62,280
124779,62,280
124937,802,363
124937,802,363
125028,21401,13417
125028,21401,13417
125037,116,979
125037,116,979
125082,252,39
125082,252,39
125091,18526,802
125091,18526,802
125170,11853,22942
125170,11853,22942
125231,71763,257
125231,14642,257
125231,57121,19431
125301,2599,19431
125301,2599,12161
125462,4588,12161
125462,4588,63875
125471,17410,10726
125471,17410,53149
125499,18852,5972
125499,18852,5972
125532,2559,4778
125532,2559,4778
125718,174,18188
125718,174,18188
125727,1422,296
125727,1404,296
125727,18,20215
125763,2514,20215
125763,1570,2690
125763,944,2690
125897,2273,150
125897,1777,150
125897,496,1367
126012,432,1359
126012,432,8
126030,485,2266
126030,485,1410
126049,1231,856
126049,1231,2083
126076,130,1572
126076,130,511
126119,10718,423
126119,10718,423
126164,134,465
126164,134,465
126182,4151,1074
126182,3132,1074
126182,1019,132
126207,8071,132
126207,8071,12375
126289,18336,12375
126289,18336,141
126359,998,141
126359,998,3836
126401,1184,2906
126401,1184,930
126410,205,8258
126410,205,8258
126562,31972,16833
126562,17042,16833
126562,14930,901
126580,12729,901
126580,9050,1640
126580,3679,1640
126605,1251,232
126605,1251,232
126614,36946,32606
126614,30058,17452
126614,6888,15154
126669,4229,13019
126669,3716,8694
126669,513,4325
126678,2484,1331
126678,2378,1331
126678,106,37348
126687,766,30660
126687,766,6688
126702,2925,3762
126702,2925,3047
126711,10740,715
126711,10740,2598
126748,2319,2433
126748,2319,165
126775,6709,854
126775,3962,854
126775,2747,3154
126784,254,3154
126784,254,10934
126818,33712,10934
126818,25042,2361
126818,8670,2361
126827,4359,6670
126827,3052,3858
126827,1307,2812
126854,176,166
126854,176,166
126863,11652,35137
126863,11652,25231
126872,1298,9906
126872,1298,4285
126915,2165,3092
126915,2165,1193
126924,233,212
126924,233,212
126942,19455,10188
126942,19455,10188
126951,1607,725
126951,1607,725
126979,1156,2493
126979,1156,2493
127024,1151,194
127024,1151,194
127060,13879,17274
127060,5900,17274
127060,7979,1732
127158,4738,1732
127158,4738,1074
127185,4191,1074
127185,4191,1507
127200,30268,1507
127200,30268,13762
127219,69,5820
127219,69,7942
127228,351,4363
127228,351,4363
127273,402,4407
127273,402,4407
127316,375,28236
127316,375,28236
127389,1370,59
127389,1370,59
127556,10010,356
127556,9840,356
127556,170,312
127565,29924,312
127565,29852,370
127565,72,370
127617,2865,1502
127617,2865,1502
127653,1194,8800
127653,504,8618
127653,690,182
127680,635,29074
127680,635,29074
127699,653,2935
127699,653,2935
127714,1396,1179
127714,1396,518
127732,3062,661
127732,3062,612
127741,15503,612
127741,11619,691
127741,3884,691
127778,2317,1483
127778,2317,1483
127787,1342,3923
127787,1342,3923
127820,21987,15332
127820,21987,11515
127839,787,3817
127839,787,2214
127884,12224,2214
127884,12224,1933
127909,15229,1933
127909,15229,20231
127918,14706,20231
127918,7123,621
127918,7583,621
127945,835,10839
127945,835,10839
127954,78,14622
127954,18,14622
127954,60,14609
128106,13665,7119
128106,7398,7490
128106,6267,696
128151,1596,696
128151,1596,60
128179,582,18
128179,582,42
128188,848,14604
128188,848,8435
128258,2910,6169
128258,2910,1684
128328,4629,1684
128328,4629,638
128337,251,638
128337,251,990
128391,2588,990
128391,2479,2774
128391,109,2774
128425,24,4620
128425,22,4620
128425,2,297
128498,2514,297
128498,1968,2402
128498,546,2402
128540,152,35
128540,152,29
128577,2685,6
128577,2685,2709
128586,82,2110
128586,82,599
128674,992,153
128674,992,153
128683,1446,2723
128683,1446,2723
128726,228,59
128726,228,59
128744,6201,1126
128744,3076,1126
128744,3125,1037
128762,415,1037
128762,415,241
128771,15391,241
128771,11868,6295
128771,3523,2763
128780,3235,3532
128780,3235,490
128896,552,490
128896,552,15535
