UNITID,LIAB011,LIAB910,ASSE011,ASSE910
143613,40389856,39398263,16559556,14718079
144005,35376239,39106805,148738043,134717190
144157,,,,
144166,,,,
144175,,,,
144184,,,,
144193,,,,
144209,,,,
144218,,,,
144500,182688775,164784671,824196424,793918693
144564,6665962,4741317,51852966,49964501
144865,314955759,331006657,338242193,292082346
144892,170465264,179928338,213013735,197960707
144944,235264499,165244483,102605171,89931176
145336,44729957,48877968,87867001,78188998
145521,16278393,15305538,25728776,25135631
145600,1110760557,1106709542,1236384491,1109476193
145637,1217395740,1270770067,1674156168,1399100265
145682,93630713,100548614,152206508,139570933
145707,,,,
145813,182658789,178977195,452385725,419818204
145831,13640362,13745334,58381386,57230625
146205,33845442,33939091,64745338,60399091
146278,16959058,17071263,32274442,31113092
146296,207163000,199174598,103008072,85260671
146348,20471165,21212177,32144957,29706469
146366,32337698,32368289,37699990,35438849
146418,34715337,29121247,36322746,34759038
146472,113087723,109753540,147422439,133522359
146506,32228033,35502591,61537509,58669972
146603,126537339,130145207,81303075,79935782
146685,76255782,74489642,61948509,61632918
147004,36356655,38902856,62920109,55797690
147378,116333993,114172009,166642662,165269305
147411,16407272,16754169,36423381,34650644
147703,375472633,238231834,270064780,254288466
147776,55080055,50200622,129986200,111829457
147800,117643837,81959764,152593241,146066951
147916,85919050,87453497,76725718,70616832
148007,27366097,26664002,31261903,31426254
148256,21856388,21029394,28494520,24660756
148292,23689071,18202370,30324753,30998057
148380,114501401,109954305,52811548,51420664
148654,79718402,76000931,71443262,65899955
148672,12916055,6400528,34861526,32157018
148821,14135638,10426379,24029302,20888558
148937,11030946,11492682,14678509,12232841
148991,20253108,20313693,2932432,3193706
149222,301089726,310744163,425667274,374456143
149231,197803453,204484254,202281947,171052970
149240,1001754,1124558,444204,342210
149365,43156349,41396638,18202601,16744898
149532,22319396,21579484,67319574,60329622
149587,370823886,342783067,207476397,211069663
149727,125600195,130663357,94937607,82517239
149772,131233928,97760037,164925574,140792829
149842,259441374,259363128,210653522,197691468
150136,249825443,236324602,661068665,628765557
150978,31479022,33481978,26070255,26070255
150987,61696517,62972357,20423037,20423037
150996,2090951,2070008,16404566,16404565
151005,22027123,23519065,15318412,15318411
151014,8751790,9388922,1195983,1195982
151023,9361785,10607707,35577229,35577230
151032,31120245,35205417,20480361,20480362
151041,20709376,22652730,1865643,1815815
151050,33078941,35719618,26951712,26896932
151069,23740050,27259459,16121908,16093348
151078,23533671,25265016,25565677,25534822
151087,39000959,41301381,28081275,28081274
151096,18924685,20005345,9812894,9788612
151102,170412354,162252584,137916870,125744510
151111,529069960,517538023,991587927,920994882
151306,162643152,169023634,125797267,120298191
151324,144063203,142399341,349429155,319762993
151333,17965112,18990371,26801227,26285179
151342,69058268,70942126,90782221,84385264
151351,884663552,895298982,1727099069,1534887071
151360,29769233,30362805,48565526,45047622
151379,55852692,57977844,53385412,47687644
151388,11196313,12230222,20779311,17579385
151537,,,,
152248,77387247,76773439,107130494,102493720
152266,3834874,2741646,27979578,25619273
152637,80428130,85734229,246509802,219946711
153214,162910095,157404786,101637213,98588207
153296,20008114,20621833,12670097,10294378
153311,87341739,94325701,80208186,69608483
153445,45380179,46459202,75150703,70097851
153472,23228128,26142940,60786876,56214009
153524,52785425,54435362,32865054,31207150
153533,19263786,19949219,32190421,29586937
153603,734233617,705785411,1100316920,995687908
153630,107192581,95950770,50269177,45446168
153658,1632896000,1526134000,2865497000,2611708000
153737,152454942,140210907,105242171,103165020
153922,34808636,35112852,22042497,17528264
154059,19062274,19546259,35629744,32805143
154095,192455655,184651958,331550610,324535024
154110,89945320,89724452,28681050,21806469
154129,14771951,16783157,25151419,23365524
154378,21348954,24544462,25809580,24159643
154396,21058467,19200858,17043512,16241094
154572,42599563,33257477,40628739,38020550
154642,4533063,5176348,16724410,16055418
154697,10350898,10786157,25623972,23057578
154800,18944718,19221036,43059856,40752403
154907,8180418,8222610,14748251,13661873
154925,9819251,10977493,8549979,5001905
154934,6408079,6682735,4066713,5000875
154952,16762364,14581128,32661868,27067014
154998,11455525,6640339,13362565,12551637
155025,36030735,36094613,71134854,69205744
155052,612197,616206,3709274,3157100
155061,24078346,22919595,108322051,95099045
155098,9062727,5013205,8295665,11992911
155104,13888965,15693533,19851937,18849284
155140,0,1,0,0
155186,5143603,4372317,14683394,13550438
155195,25859301,28782345,44561331,43612433
155201,9475574,9133510,6694493,6394004
155210,59644588,64170162,208921154,213950604
155292,45448805,16948471,36469540,33862799
155317,605717010,574019429,1021802750,933777159
155399,360018512,321534681,513140703,447492782
155423,,,,
155450,2327232,3009712,11127204,11177053
155487,1174534,1091023,3123095,2955822
155566,9868742,9946191,6335389,7109108
155593,1141186,1156543,6934000,6857372
155618,502427,504642,13045887,12584681
155681,52104671,49695779,107830819,102421790
155715,7559336,7825176,13124350,12521980
155830,500233,338175,4171146,15152437
155858,11498630,11525896,33556001,36113977
156082,33752509,38199797,142574960,131687814
156107,7365858,9535029,7575175,7551969
156125,68361782,70839012,208890615,190027455
156231,,,,
156338,,,,
156392,,,,
156620,99946250,105363912,320421311,253006090
156648,,,,
156790,,,,
156851,,,,
156860,,,,
156921,,,,
157058,17117182,17981262,115979215,105396228
157085,1142694648,1154663712,2632162398,2389976953
157289,470401000,480004000,804502000,772347000
157304,,,,
157331,,,,
157386,70767401,75099066,176025501,168362082
157401,73484256,77044399,220174891,207764186
157438,,,,
157447,130973000,137908000,318439000,274900000
157483,,,,
157553,,,,
157711,,,,
157739,,,,
157854,192548478,164932392,879228935,824670328
157951,171291378,176928598,377566333,352980014
158088,7890745,7235923,-380508,-284243
158352,6959117,6662534,-1099087,-1650510
158431,16889237,14468445,-6920943,-7659688
158662,57542264,50783667,32829350,31996839
158769,4025875,3979986,4948639,4687281
158884,5539978,5371793,17082623,16024005
159009,143612809,140039829,71397803,72950825
159373,145689897,131705174,286271283,267638230
159382,17387426,15276877,22361472,15489986
159391,850596870,813153117,699923859,671242333
159407,16180447,14311383,16558267,13776564
159416,12163278,11037542,27891464,27189409
159443,13012554,12216248,6864105,5706987
159638,13562382,11964485,69202661,74668322
159647,139597618,134519859,193031594,161366259
159717,63999798,59215480,86417441,76204580
159939,131497339,126125712,143815201,136646125
159966,106891100,92340920,60792438,52997235
159993,130116971,124072810,90034937,85770860
160010,7425432,7372188,6410231,5652797
160038,45784824,41287673,77352372,70061859
160481,4154737,3473034,4830424,4557194
160533,3959040,3334896,-2238996,-1717988
160579,7154753,5828898,8026601,6745742
160612,185865322,144777979,105264926,91195058
160621,125182544,128570302,104099498,106419452
